sr_no,dev_sorts,structure,finish_gsm,finish_width,cotton_yarn_costing,wastage,dyeing_cost_rs,dyed_yarn_cost_rs,cotton_dyed_proportion_cost,polyester_cost,spandex_cost,melange_cost,col_14,kora_yarn_cost,reactive_yarn_cost,cooltex_yarn_cost,recycle_yarn_cost,dyed_poly_yarn_cost,micro_modal,viscose,raw_material_cost,knittng__processing_cost,wastage_2,costing,margin,selling_price,conversion_rcvd,currency_rate,discount_if_any,sort_no,96cotton4elastane,price_usdkg,price_usdmtrs,price_usdyds,linear_mtrskg,linear_ydgskg,width_cms,width_inch,weight_gsm,weight_ozssq_yds,price_per_kg_inr,freight_inr_per_kg,commission,lc_days__interest_15_pm,lc_days_interest_amount,col_47,total_cost_pricefreightcomlc_int,inr__kg,col_50,total_cost_usd__kg,col_52
50,20458,SINGLE JERSEY,210,165,225.0,6.75,110,341.75,328.08,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,341.48,90,43.148,474.628,47.4628,522.0908,180.6108,87,0,20458,,6.47350965517241,2.24307109551724,2.05786339038279,2.886002886002886,3.145743145743146,165,64.96062992125984,210,6.1946902654867255,522.0908,15,26.10454,0,0,,563.19534,,,6.47350965517241,
51,20475,3/1 TWILL,290,165,285.0,8.55,110,403.55,266.343,10.56,23.450000000000003,0.0,,55.1,0.0,0.0,0.0,0,0,0,355.453,90,44.5453,489.9983,48.99983,538.99813,183.54513,87,0,20475,,6.67756363793104,3.19521420075,2.931389175,2.089864158829676,2.277951933124347,165,64.96062992125984,290,8.554572271386432,538.99813,15,26.9499065,0,0,,580.9480365,,,6.67756363793104,
52,20480,3/1 TWILL,330,166,,#VALUE!,110,#VALUE!,#VALUE!,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0,#VALUE!,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,87,0,20480,INDIGO,#VALUE!,#VALUE!,#VALUE!,1.8254837531945967,1.9897772909821105,166,65.35433070866142,330,9.734513274336283,#VALUE!,15,#VALUE!,0,#VALUE!,,#VALUE!,,,#VALUE!,
53,20482,DOUBLE DOTTED FLEECE,185,172,230.0,6.9,110,346.9,284.458,16.94,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,314.798,90,40.4798,445.2778,44.52778,489.80558,175.00758,87,0,20482,,6.08386044827586,1.93588439464138,1.77604072902879,3.1426775612822127,3.425518541797612,172,67.71653543307086,185,5.457227138643068,489.80558,15,24.490279,0,0,,529.295859,,,6.08386044827586,
54,20485,FRENCH TERRY,220,165,230.0,6.9,110,346.9,280.989,18.45,14.200000000000001,0.0,,0.0,0.0,0.0,0.0,0,0,0,313.639,90,40.3639,444.0029,44.40029,488.40319,174.76419,87,0,20485,,6.06693505172414,2.20229742377586,2.02045635208795,2.7548209366391183,3.002754820936639,165,64.96062992125984,220,6.489675516224189,488.40319,15,24.4201595,0,0,,527.8233495,,,6.06693505172414,
55,20510,2/1 TWILL,320,142,285.0,8.55,110,403.55,238.0945,35.669999999999995,40.199999999999996,0.0,,0.0,0.0,0.0,0.0,0,0,0,313.9645,90,40.39645,444.36095,44.436095,488.797045,174.832545,87,0,20510,,6.07168847413793,2.75897524264828,2.53116994738374,2.200704225352113,2.3987676056338034,142,55.90551181102362,320,9.43952802359882,488.797045,15,24.43985225,0,0,,528.23689725,,,6.07168847413793,
56,20511,FRENCH TERRY,260,182,285.0,8.55,110,403.55,351.0885,13.53,7.1000000000000005,0.0,,0.0,0.0,0.0,0.0,0,0,0,371.7185,90,46.17185,507.89035,50.789035,558.679385,186.960885,87,0,20511,,6.91509602586207,3.27222343943793,3.00203985269535,2.113271344040575,2.3034657650042267,182,71.65354330708661,260,7.669616519174042,558.679385,15,27.93396925,0,0,,601.61335425,,,6.91509602586207,
57,20512,2/1 TWILL,280,154,230.0,6.9,110,346.9,180.388,50.14,7.1000000000000005,0.0,,0.0,0.0,0.0,0.0,0,0,0,237.628,90,32.7628,360.3908,36.03908,396.42988,158.80188,87,0,20512,,4.95691234482759,2.13742060308966,1.96093633310978,2.319109461966605,2.5278293135435996,154,60.62992125984252,280,8.259587020648969,396.42988,15,19.821494,0,0,,431.251374,,,4.95691234482759,
58,20516,2/1 TWILL,265,160,230.0,6.9,110,346.9,180.388,59.800000000000004,7.1000000000000005,0.0,,0.0,0.0,0.0,0.0,0,0,0,247.288,90,33.7288,371.0168,37.10168,408.11848,160.83048,87,0,20516,,5.09798165517241,2.1615442217931,1.98306809338817,2.358490566037736,2.5707547169811322,160,62.99212598425197,265,7.817109144542774,408.11848,15,20.405924,0,0,,443.524404,,,5.09798165517241,
59,20518,2/1 TWILL,265,160,230.0,6.9,110,346.9,180.388,50.14,7.1000000000000005,0.0,,0.0,0.0,0.0,0.0,0,0,0,237.628,90,32.7628,360.3908,36.03908,396.42988,158.80188,87,0,20518,,4.95691234482759,2.1017308342069,1.92819342587789,2.358490566037736,2.5707547169811322,160,62.99212598425197,265,7.817109144542774,396.42988,15,19.821494,0,0,,431.251374,,,4.95691234482759,
