sr_no,dev_sorts,structure,finish_gsm,finish_width,oeactiva,oeactiva_2,oeactiva_3,kia,kia_2,kia_3,swift,classic,classic_2,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81,col_82,col_83,col_84,col_85,col_86,col_87,col_88,col_89,col_90,col_91,col_92,col_93,col_94,col_95,col_96,col_97,col_98,col_99,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,local_cost,sales_price,export_cost_inr,export_price_fc,price_usdkg,price_usdmtrs,price_usdyds,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168,col_169
29.0,20389,3/1 TWILL,270.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,56%COTTON+42%POLY+2%ELASTANE,INDIGO,30s INDIGO+300D BLACK POLY+20D WHITE SPANDEX,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,20390,FRENCH TERRY,275.0,162.0,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,69.0,25.0,0.0,6.0,,,,,,,,69%COTTON+25%POLY+6%ELASTANE,INDIGO,30s INDIGO+150D BLACK  POLY+40D WHITE SPANDEX,479.33985,527.273835,568.63752675,6.53606352586207,6.53606352586207,2.91181630077155,2.67139110162528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,20391,3/1 TWILL,275.0,155.0,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,56.0,42.0,0.0,2.0,,,,,,,,56%COTTON+42%POLY+2%ELASTANE,INDIGO,30s INDIGO+300D WHITE POLY+20D WHITE SPANDEX,418.4444,460.28884,498.303282,5.72762393103448,5.72762393103448,2.44139970060345,2.23981623908573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,20392,SINGLE JERSEY,200.0,160.0,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,0.0,0.0,5.0,,,,,,,,95%COTTON+5%ELASTANE,INDIGO,30s INDIGO+20D WHITE SPANDEX,561.76175,617.937925,663.83482125,7.63028530172414,7.63028530172414,2.44169129655172,2.24008375830433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,20395,MODIFIED FRENCH TERRY,295.0,160.0,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,60.0,37.0,0.0,3.0,,,,,,,,60%COTTON+37%POLY+3%ELASTANE,INDIGO,24s INDIGO+300D BLACK POLY+20D WHITE SPANDEX,436.766,480.4426,519.46473,5.97085896551724,5.97085896551724,2.81824543172414,2.58554626763682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,20399,FRENCH TERRY,300.0,162.0,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,94.0,0.0,0.0,6.0,,,,,,,,94%COTTON+6%ELASTANE,INDIGO,30s INDIGO+30s GREIGE KORA+40D WHITE SPANDEX,512.7342,564.00762,607.208001,6.97940231034483,6.97940231034483,3.39198952282759,3.1119169934198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,20408,2/1 TWILL,300.0,138.0,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,53.0,32.0,0.0,15.0,,,,,,,,53%COTTON+32%POLY+15%ELASTANE,INDIGO,20s INDIGO+80D WHITE POLY+70D WHITE SPANDEX,432.84065,476.124715,514.93095075,5.91874656034483,5.91874656034483,2.45036107598276,2.24803768438785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,20409,2/1 TWILL,300.0,135.0,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,49.0,36.0,0.0,15.0,,,,,,,,49%COTTON+36%POLY+15%ELASTANE,INDIGO,24s INDIGO+80D WHITE POLY+70D WHITE SPANDEX,426.04815,468.652965,507.08561325,5.82857026724138,5.82857026724138,2.36057095823276,2.16566142957134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,20410,2/1 TWILL,260.0,135.0,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,44.0,40.0,0.0,16.0,,,,,,,,44%COTTON+40%POLY+16%ELASTANE,INDIGO,30s INDIGO+80D WHITE POLY+70D WHITE SPANDEX,379.9796,417.97756,453.876438,5.21697055172414,5.21697055172414,1.83115666365517,1.67996024188548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,20412,2/1 TWILL,340.0,150.0,,,,,,,,,40.0,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,91.0,0.0,0.0,9.0,,,,,,,,91%COTTON+9%ELASTANE,INDIGO,20s INDIGO+30s DEZIRE+70D WHITE SPANDEX,536.11855,589.730405,634.21692525,7.28984971551724,7.28984971551724,3.71782335491379,3.41084711459981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
